   1.00000000      0.625000000      0.632120550       7.12054968E-03
   2.00000000      0.859375000      0.864664733       5.28973341E-03
   3.00000000      0.947265625      0.950212955       2.94733047E-03
   4.00000000      0.980224609      0.981684387       1.45977736E-03
   5.00000000      0.992584229      0.993262053       6.77824020E-04
   6.00000000      0.997219086      0.997521222       3.02135944E-04
   7.00000000      0.998957157      0.999088109       1.30951405E-04
   8.00000000      0.999608934      0.999664545       5.56111336E-05
   9.00000000      0.999853373      0.999876618       2.32458115E-05
   10.0000000      0.999945045      0.999954581       9.53674316E-06
