   0.00000000       0.00000000    
  0.100000001       9.51172262E-02
  0.200000003      0.180941612    
  0.300000012      0.258181632    
  0.400000006      0.327534795    
  0.500000000      0.389676780    
  0.600000024      0.445253521    
  0.700000048      0.494875669    
  0.800000072      0.539115131    
  0.900000095      0.578503430    
   1.00000012      0.613530993    
   1.10000014      0.644647837    
   1.20000017      0.672264755    
   1.30000019      0.696754992    
   1.40000021      0.718456626    
   1.50000024      0.737674594    
   1.60000026      0.754683316    
   1.70000029      0.769729078    
   1.80000031      0.783032417    
   1.90000033      0.794790387    
   2.00000024      0.805178821    
   2.10000014      0.814354420    
   2.20000005      0.822456479    
   2.29999995      0.829608917    
   2.39999986      0.835921645    
   2.49999976      0.841492176    
   2.59999967      0.846406996    
   2.69999957      0.850742579    
   2.79999948      0.854566753    
   2.89999938      0.857939422    
   2.99999928      0.860913634    
   3.09999919      0.863536179    
   3.19999909      0.865848482    
   3.29999900      0.867887080    
   3.39999890      0.869684279    
   3.49999881      0.871268570    
   3.59999871      0.872665107    
   3.69999862      0.873896122    
   3.79999852      0.874981165    
   3.89999843      0.875937521    
   3.99999833      0.876780450    
   4.09999847      0.877523363    
   4.19999838      0.878178120    
   4.29999828      0.878755152    
   4.39999819      0.879263699    
   4.49999809      0.879711866    
   4.59999800      0.880106807    
   4.69999790      0.880454838    
   4.79999781      0.880761564    
   4.89999771      0.881031871    
   4.99999762      0.881270051    
   5.09999752      0.881479919    
   5.19999743      0.881664872    
   5.29999733      0.881827891    
   5.39999723      0.881971538    
   5.49999714      0.882098079    
   5.59999704      0.882209599    
   5.69999695      0.882307887    
   5.79999685      0.882394493    
   5.89999676      0.882470787    
   5.99999666      0.882538021    
   6.09999657      0.882597268    
   6.19999647      0.882649481    
   6.29999638      0.882695496    
   6.39999628      0.882736087    
   6.49999619      0.882771850    
   6.59999609      0.882803321    
   6.69999599      0.882831097    
   6.79999590      0.882855535    
   6.89999580      0.882877111    
   6.99999571      0.882896066    
   7.09999561      0.882912815    
   7.19999552      0.882927537    
   7.29999542      0.882940531    
   7.39999533      0.882951975    
   7.49999523      0.882962048    
   7.59999514      0.882970929    
   7.69999504      0.882978737    
   7.79999495      0.882985651    
   7.89999485      0.882991731    
   7.99999475      0.882997096    
   8.09999466      0.883001804    
   8.19999504      0.883005977    
   8.29999542      0.883009672    
   8.39999580      0.883012891    
   8.49999619      0.883015752    
   8.59999657      0.883018255    
   8.69999695      0.883020461    
   8.79999733      0.883022428    
   8.89999771      0.883024156    
   8.99999809      0.883025646    
   9.09999847      0.883026958    
   9.19999886      0.883028150    
   9.29999924      0.883029163    
   9.39999962      0.883030057    
   9.50000000      0.883030891    
   9.60000038      0.883031607    
   9.70000076      0.883032203    
   9.80000114      0.883032739    
   9.90000153      0.883033216    
   10.0000019      0.883033633    
