           1   14.0000000       16.0000000       14.0000000       1.00000000      0.219791412    
           2   14.0000000       15.0000000       15.0000000      0.500000000      0.280208588    
           3   14.5000000       15.0000000       14.5000000      0.250000000       3.02085876E-02
           4   14.7500000       15.0000000       14.7500000      0.125000000       9.47914124E-02
           5   14.7500000       14.8750000       14.8750000       6.25000000E-02   3.22914124E-02
           6   14.7500000       14.8125000       14.8125000       3.12500000E-02   1.04141235E-03
           7   14.7500000       14.7812500       14.7812500       1.56250000E-02   1.45835876E-02
           8   14.7656250       14.7812500       14.7656250       7.81250000E-03   6.77108765E-03
           9   14.7734375       14.7812500       14.7734375       3.90625000E-03   2.86483765E-03
          10   14.7773438       14.7812500       14.7773438       1.95312500E-03   9.11712646E-04
          11   14.7792969       14.7812500       14.7792969       9.76562500E-04   6.48498535E-05
          12   14.7792969       14.7802734       14.7802734       4.88281250E-04   4.23431396E-04
          13   14.7797852       14.7802734       14.7797852       2.44140625E-04   1.79290771E-04
          14   14.7800293       14.7802734       14.7800293       1.22070312E-04   5.72204590E-05
          15   14.7801514       14.7802734       14.7801514       6.10351562E-05   3.81469727E-06
          16   14.7801514       14.7802124       14.7802124       3.05175781E-05   2.67028809E-05
          17   14.7801819       14.7802124       14.7801819       1.52587891E-05   1.14440918E-05
          18   14.7801971       14.7802124       14.7801971       7.62939453E-06   3.81469727E-06
