      0.10      1       0.00000         20.0000
      0.10      2       0.00200         20.0000
      0.10      3       0.00400         20.0000
      0.10      4       0.00600         20.0013
      0.10      5       0.00800         20.0576
      0.10      6       0.01000         22.6421
      0.10      7       0.01200        141.1607

      0.20      1       0.00000         20.0000
      0.20      2       0.00200         20.0000
      0.20      3       0.00400         20.0001
      0.20      4       0.00600         20.0055
      0.20      5       0.00800         20.1974
      0.20      6       0.01000         26.5233
      0.20      7       0.01200        203.1577

      0.30      1       0.00000         20.0000
      0.30      2       0.00200         20.0000
      0.30      3       0.00400         20.0005
      0.30      4       0.00600         20.0146
      0.30      5       0.00800         20.4274
      0.30      6       0.01000         30.9330
      0.30      7       0.01200        234.9374

      0.40      1       0.00000         20.0000
      0.40      2       0.00200         20.0000
      0.40      3       0.00400         20.0011
      0.40      4       0.00600         20.0303
      0.40      5       0.00800         20.7476
      0.40      6       0.01000         35.5137
      0.40      7       0.01200        251.2818

      0.50      1       0.00000         20.0000
      0.50      2       0.00200         20.0001
      0.50      3       0.00400         20.0022
      0.50      4       0.00600         20.0542
      0.50      5       0.00800         21.1540
      0.50      6       0.01000         40.0880
      0.50      7       0.01200        259.7394

      0.60      1       0.00000         20.0000
      0.60      2       0.00200         20.0002
      0.60      3       0.00400         20.0041
      0.60      4       0.00600         20.0877
      0.60      5       0.00800         21.6411
      0.60      6       0.01000         44.5699
      0.60      7       0.01200        264.1652

      0.70      1       0.00000         20.0000
      0.70      2       0.00200         20.0003
      0.70      3       0.00400         20.0068
      0.70      4       0.00600         20.1320
      0.70      5       0.00800         22.2028
      0.70      6       0.01000         48.9202
      0.70      7       0.01200        266.5278

      0.80      1       0.00000         20.0000
      0.80      2       0.00200         20.0005
      0.80      3       0.00400         20.0106
      0.80      4       0.00600         20.1882
      0.80      5       0.00800         22.8328
      0.80      6       0.01000         53.1230
      0.80      7       0.01200        267.8329

      0.90      1       0.00000         20.0001
      0.90      2       0.00200         20.0008
      0.90      3       0.00400         20.0157
      0.90      4       0.00600         20.2572
      0.90      5       0.00800         23.5252
      0.90      6       0.01000         57.1743
      0.90      7       0.01200        268.5940

      1.00      1       0.00000         20.0001
      1.00      2       0.00200         20.0013
      1.00      3       0.00400         20.0225
      1.00      4       0.00600         20.3396
      1.00      5       0.00800         24.2742
      1.00      6       0.01000         61.0758
      1.00      7       0.01200        269.0738

      1.10      1       0.00000         20.0002
      1.10      2       0.00200         20.0019
      1.10      3       0.00400         20.0311
      1.10      4       0.00600         20.4361
      1.10      5       0.00800         25.0746
      1.10      6       0.01000         64.8319
      1.10      7       0.01200        269.4064

      1.20      1       0.00000         20.0003
      1.20      2       0.00200         20.0028
      1.20      3       0.00400         20.0417
      1.20      4       0.00600         20.5471
      1.20      5       0.00800         25.9213
      1.20      6       0.01000         68.4482
      1.20      7       0.01200        269.6606

      1.30      1       0.00000         20.0005
      1.30      2       0.00200         20.0038
      1.30      3       0.00400         20.0546
      1.30      4       0.00600         20.6728
